date,bullish
"May 26, 2021",46
"May 27, 2021",46
"May 28, 2021",45
"May 29, 2021",35
"May 30, 2021",32
"May 31, 2021",42
"Jun 1, 2021",38
"Jun 2, 2021",40
"Jun 3, 2021",44
"Jun 4, 2021",38
"Jun 5, 2021",30
"Jun 6, 2021",27
"Jun 7, 2021",40
"Jun 8, 2021",43
"Jun 9, 2021",43
"Jun 10, 2021",45
"Jun 11, 2021",41
"Jun 12, 2021",28
"Jun 13, 2021",29
"Jun 14, 2021",39
"Jun 15, 2021",39
"Jun 16, 2021",37
"Jun 17, 2021",34
"Jun 18, 2021",35
"Jun 19, 2021",26
"Jun 20, 2021",23
"Jun 21, 2021",39
"Jun 22, 2021",46
"Jun 23, 2021",35
"Jun 24, 2021",45
"Jun 25, 2021",34
"Jun 26, 2021",25
"Jun 27, 2021",26
"Jun 28, 2021",33
"Jun 29, 2021",37
"Jun 30, 2021",36
"Jul 1, 2021",39
"Jul 2, 2021",32
"Jul 3, 2021",25
"Jul 4, 2021",23
"Jul 5, 2021",30
"Jul 6, 2021",30
"Jul 7, 2021",30
"Jul 8, 2021",31
"Jul 9, 2021",42
"Jul 10, 2021",31
"Jul 11, 2021",22
"Jul 12, 2021",39
"Jul 13, 2021",35
"Jul 14, 2021",36
"Jul 15, 2021",34
"Jul 16, 2021",38
"Jul 17, 2021",24
"Jul 18, 2021",21
"Jul 19, 2021",31
"Jul 20, 2021",35
"Jul 21, 2021",31
"Jul 22, 2021",35
"Jul 23, 2021",32
"Jul 24, 2021",23
"Jul 25, 2021",20
"Jul 26, 2021",34
"Jul 27, 2021",35
"Jul 28, 2021",37
"Jul 29, 2021",34
"Jul 30, 2021",34
"Jul 31, 2021",23
"Aug 1, 2021",24
"Aug 2, 2021",27
"Aug 3, 2021",31
"Aug 4, 2021",32
"Aug 5, 2021",33
"Aug 6, 2021",29
"Aug 7, 2021",25
"Aug 8, 2021",24
"Aug 9, 2021",36
"Aug 10, 2021",32
"Aug 11, 2021",35
"Aug 12, 2021",35
"Aug 13, 2021",36
"Aug 14, 2021",26
"Aug 15, 2021",27
"Aug 16, 2021",36
"Aug 17, 2021",32
"Aug 18, 2021",36
"Aug 19, 2021",30
"Aug 20, 2021",33
"Aug 21, 2021",24
"Aug 22, 2021",24
"Aug 23, 2021",35
"Aug 24, 2021",32
"Aug 25, 2021",34
"Aug 26, 2021",36
"Aug 27, 2021",32
"Aug 28, 2021",21
"Aug 29, 2021",24
"Aug 30, 2021",28
"Aug 31, 2021",34
"Sep 1, 2021",34
"Sep 2, 2021",29
"Sep 3, 2021",32
"Sep 4, 2021",24
"Sep 5, 2021",23
"Sep 6, 2021",27
"Sep 7, 2021",33
"Sep 8, 2021",33
"Sep 9, 2021",30
"Sep 10, 2021",28
"Sep 11, 2021",20
"Sep 12, 2021",23
"Sep 13, 2021",34
"Sep 14, 2021",32
"Sep 15, 2021",33
"Sep 16, 2021",33
"Sep 17, 2021",31
"Sep 18, 2021",27
"Sep 19, 2021",27
"Sep 20, 2021",33
"Sep 21, 2021",32
"Sep 22, 2021",35
"Sep 23, 2021",33
"Sep 24, 2021",33
"Sep 25, 2021",20
"Sep 26, 2021",22
