date,bearish
"May 26, 2021",49
"May 27, 2021",47
"May 28, 2021",51
"May 29, 2021",40
"May 30, 2021",31
"May 31, 2021",47
"Jun 1, 2021",47
"Jun 2, 2021",45
"Jun 3, 2021",49
"Jun 4, 2021",44
"Jun 5, 2021",42
"Jun 6, 2021",30
"Jun 7, 2021",53
"Jun 8, 2021",52
"Jun 9, 2021",52
"Jun 10, 2021",47
"Jun 11, 2021",45
"Jun 12, 2021",36
"Jun 13, 2021",37
"Jun 14, 2021",42
"Jun 15, 2021",45
"Jun 16, 2021",43
"Jun 17, 2021",43
"Jun 18, 2021",41
"Jun 19, 2021",29
"Jun 20, 2021",31
"Jun 21, 2021",49
"Jun 22, 2021",46
"Jun 23, 2021",37
"Jun 24, 2021",47
"Jun 25, 2021",45
"Jun 26, 2021",31
"Jun 27, 2021",34
"Jun 28, 2021",42
"Jun 29, 2021",41
"Jun 30, 2021",44
"Jul 1, 2021",39
"Jul 2, 2021",40
"Jul 3, 2021",32
"Jul 4, 2021",24
"Jul 5, 2021",32
"Jul 6, 2021",39
"Jul 7, 2021",37
"Jul 8, 2021",43
"Jul 9, 2021",33
"Jul 10, 2021",25
"Jul 11, 2021",27
"Jul 12, 2021",34
"Jul 13, 2021",33
"Jul 14, 2021",41
"Jul 15, 2021",42
"Jul 16, 2021",39
"Jul 17, 2021",28
"Jul 18, 2021",22
"Jul 19, 2021",38
"Jul 20, 2021",36
"Jul 21, 2021",39
"Jul 22, 2021",38
"Jul 23, 2021",36
"Jul 24, 2021",25
"Jul 25, 2021",25
"Jul 26, 2021",29
"Jul 27, 2021",42
"Jul 28, 2021",37
"Jul 29, 2021",34
"Jul 30, 2021",40
"Jul 31, 2021",48
"Aug 1, 2021",28
"Aug 2, 2021",35
"Aug 3, 2021",36
"Aug 4, 2021",36
"Aug 5, 2021",42
"Aug 6, 2021",34
"Aug 7, 2021",28
"Aug 8, 2021",30
"Aug 9, 2021",39
"Aug 10, 2021",39
"Aug 11, 2021",38
"Aug 12, 2021",36
"Aug 13, 2021",34
"Aug 14, 2021",37
"Aug 15, 2021",25
"Aug 16, 2021",37
"Aug 17, 2021",35
"Aug 18, 2021",40
"Aug 19, 2021",35
"Aug 20, 2021",38
"Aug 21, 2021",23
"Aug 22, 2021",24
"Aug 23, 2021",39
"Aug 24, 2021",40
"Aug 25, 2021",38
"Aug 26, 2021",36
"Aug 27, 2021",33
"Aug 28, 2021",23
"Aug 29, 2021",22
"Aug 30, 2021",34
"Aug 31, 2021",35
"Sep 1, 2021",37
"Sep 2, 2021",39
"Sep 3, 2021",37
"Sep 4, 2021",20
"Sep 5, 2021",21
"Sep 6, 2021",30
"Sep 7, 2021",37
"Sep 8, 2021",39
"Sep 9, 2021",38
"Sep 10, 2021",43
"Sep 11, 2021",24
"Sep 12, 2021",24
"Sep 13, 2021",41
"Sep 14, 2021",32
"Sep 15, 2021",41
"Sep 16, 2021",34
"Sep 17, 2021",39
"Sep 18, 2021",25
"Sep 19, 2021",23
"Sep 20, 2021",41
"Sep 21, 2021",35
"Sep 22, 2021",37
"Sep 23, 2021",33
"Sep 24, 2021",33
"Sep 25, 2021",23
"Sep 26, 2021",29
"Sep 27, 2021",30
"Sep 28, 2021",31
"Sep 29, 2021",35
"Sep 30, 2021",41
"Oct 1, 2021",28
"Oct 2, 2021",21
"Oct 3, 2021",23
"Oct 4, 2021",37
"Oct 5, 2021",38
"Oct 6, 2021",34
"Oct 7, 2021",35
"Oct 8, 2021",32
"Oct 9, 2021",20
"Oct 10, 2021",25
"Oct 11, 2021",30
"Oct 12, 2021",32
"Oct 13, 2021",33
"Oct 14, 2021",31
"Oct 15, 2021",29
"Oct 16, 2021",27
"Oct 17, 2021",28
"Oct 18, 2021",33
"Oct 19, 2021",39
"Oct 20, 2021",39
"Oct 21, 2021",39
"Oct 22, 2021",34
"Oct 23, 2021",26
"Oct 24, 2021",22
"Oct 25, 2021",33
"Oct 26, 2021",33
"Oct 27, 2021",34
"Oct 28, 2021",41
"Oct 29, 2021",37
"Oct 30, 2021",22
"Oct 31, 2021",29
"Nov 1, 2021",31
"Nov 2, 2021",36
